new entry "Zone_SweepingAttack"
type "SpellData"
data "SpellType" "Zone"
using "Zone_Cleave"
data "Cooldown" ""
data "SpellProperties" "GROUND:ExecuteWeaponFunctors(MainHand);IF(not Player(context.Source)):ApplyStatus(SELF,MANEUVER_BLOCKER,100,1)"
data "SpellSuccess" "DealDamage(MainMeleeWeapon + LevelMapValue(SuperiorityDie), MainMeleeWeaponDamageType);GROUND:ExecuteWeaponFunctors(MainHand)"
data "Icon" "Action_SweepingAttack"
data "DisplayName" "h4b9566d0g15d9g48f0g9e61geb15bbeac434;2"
data "Description" "hed20fdd9gdfa1g4a4bgbdb4g71b6fc44fc8b;3"
data "DescriptionParams" ""
data "TooltipDamageList" "DealDamage(MainMeleeWeapon + LevelMapValue(SuperiorityDie), MainMeleeWeaponDamageType);"
data "CastSound" "Action_Cast_SweepingAttack"
data "TargetSound" "Action_Impact_SweepingAttack"
data "UseCosts" "ActionPoint:1;SuperiorityDie:1"
data "SpellFlags" "IsHarmful"
data "RechargeValues" ""
data "MaximumTargets" ""
data "RequirementConditions" ""
data "PrepareEffect" "e3faa4ab-3c09-456d-997a-23a48eac2b09"
data "CastEffect" "6c320e56-1448-44ba-87f8-3c132b6f7476"
data "RequirementConditions" "not HasStatus('MANEUVER_BLOCKER')"
